muni,area
Barrington,7
Bristol,7
Burrillville,1
Central Falls,2
Charlestown,6
Coventry,5
Cranston,4
Cumberland,1
East Greenwich,5
East Providence,7
Exeter,6
Foster,4
Glocester,4
Hopkinton,6
Jamestown,8
Johnston,4
Lincoln,1
Little Compton,8
Middletown,8
Narragansett,6
New Shoreham,6
Newport,8
North Kingstown,6
North Providence,4
North Smithfield,1
Pawtucket,2
Portsmouth,8
Providence,3
Richmond,6
Scituate,4
Smithfield,4
South Kingstown,6
Tiverton,8
Warren,7
Warwick,5
West Greenwich,5
West Warwick,5
Westerly,6
Woonsocket,1
