geoID_long,geoID_short,muni_long,muni_short,med_hh_inc
0600000US4400105140,4400105140,"Barrington town, Bristol County, Rhode Island",Barrington,103937
0600000US4400109280,4400109280,"Bristol town, Bristol County, Rhode Island",Bristol,60988
0600000US4400711800,4400711800,"Burrillville town, Providence County, Rhode Island",Burrillville,60666
0600000US4400714140,4400714140,"Central Falls city, Providence County, Rhode Island",Central Falls,28842
0600000US4400914500,4400914500,"Charlestown town, Washington County, Rhode Island",Charlestown,68904
0600000US4400318640,4400318640,"Coventry town, Kent County, Rhode Island",Coventry,69050
0600000US4400719180,4400719180,"Cranston city, Providence County, Rhode Island",Cranston,58684
0600000US4400720080,4400720080,"Cumberland town, Providence County, Rhode Island",Cumberland,74499
0600000US4400322240,4400322240,"East Greenwich town, Kent County, Rhode Island",East Greenwich,92727
0600000US4400722960,4400722960,"East Providence city, Providence County, Rhode Island",East Providence,51077
0600000US4400925300,4400925300,"Exeter town, Washington County, Rhode Island",Exeter,83340
0600000US4400727460,4400727460,"Foster town, Providence County, Rhode Island",Foster,80720
0600000US4400730340,4400730340,"Glocester town, Providence County, Rhode Island",Glocester,82193
0600000US4400935380,4400935380,"Hopkinton town, Washington County, Rhode Island",Hopkinton,71636
0600000US4400536820,4400536820,"Jamestown town, Newport County, Rhode Island",Jamestown,95833
0600000US4400737720,4400737720,"Johnston town, Providence County, Rhode Island",Johnston,57457
0600000US4400741500,4400741500,"Lincoln town, Providence County, Rhode Island",Lincoln,66827
0600000US4400542400,4400542400,"Little Compton town, Newport County, Rhode Island",Little Compton,74698
0600000US4400545460,4400545460,"Middletown town, Newport County, Rhode Island",Middletown,70244
0600000US4400948340,4400948340,"Narragansett town, Washington County, Rhode Island",Narragansett,65842
0600000US4400950500,4400950500,"New Shoreham town, Washington County, Rhode Island",New Shoreham,90526
0600000US4400549960,4400549960,"Newport city, Newport County, Rhode Island",Newport,61320
0600000US4400951580,4400951580,"North Kingstown town, Washington County, Rhode Island",North Kingstown,80506
0600000US4400751760,4400751760,"North Providence town, Providence County, Rhode Island",North Providence,53470
0600000US4400752480,4400752480,"North Smithfield town, Providence County, Rhode Island",North Smithfield,78163
0600000US4400754640,4400754640,"Pawtucket city, Providence County, Rhode Island",Pawtucket,40578
0600000US4400557880,4400557880,"Portsmouth town, Newport County, Rhode Island",Portsmouth,77483
0600000US4400759000,4400759000,"Providence city, Providence County, Rhode Island",Providence,37514
0600000US4400961160,4400961160,"Richmond town, Washington County, Rhode Island",Richmond,96533
0600000US4400764220,4400764220,"Scituate town, Providence County, Rhode Island",Scituate,80802
0600000US4400766200,4400766200,"Smithfield town, Providence County, Rhode Island",Smithfield,71305
0600000US4400967460,4400967460,"South Kingstown town, Washington County, Rhode Island",South Kingstown,72021
0600000US4400570880,4400570880,"Tiverton town, Newport County, Rhode Island",Tiverton,73438
0600000US4400173760,4400173760,"Warren town, Bristol County, Rhode Island",Warren,53706
0600000US4400374300,4400374300,"Warwick city, Kent County, Rhode Island",Warwick,62803
0600000US4400377720,4400377720,"West Greenwich town, Kent County, Rhode Island",West Greenwich,80987
0600000US4400378440,4400378440,"West Warwick town, Kent County, Rhode Island",West Warwick,50138
0600000US4400977000,4400977000,"Westerly town, Washington County, Rhode Island",Westerly,62381
0600000US4400780780,4400780780,"Woonsocket city, Providence County, Rhode Island",Woonsocket,35216
