geoID_long,geoID_short,muni_long,muni_short,total_det,below_pov,pct_below_pov
0600000US4400105140,4400105140,"Barrington town, Bristol County, Rhode Island",Barrington,4432,68,0.0153429602888
0600000US4400109280,4400109280,"Bristol town, Bristol County, Rhode Island",Bristol,3317,183,0.0551703346397
0600000US4400711800,4400711800,"Burrillville town, Providence County, Rhode Island",Burrillville,3287,354,0.107696988135
0600000US4400714140,4400714140,"Central Falls city, Providence County, Rhode Island",Central Falls,5641,2361,0.418542811558
0600000US4400914500,4400914500,"Charlestown town, Washington County, Rhode Island",Charlestown,1452,326,0.224517906336
0600000US4400318640,4400318640,"Coventry town, Kent County, Rhode Island",Coventry,7015,873,0.124447612259
0600000US4400719180,4400719180,"Cranston city, Providence County, Rhode Island",Cranston,15477,2380,0.153776571687
0600000US4400720080,4400720080,"Cumberland town, Providence County, Rhode Island",Cumberland,7401,586,0.0791784893933
0600000US4400322240,4400322240,"East Greenwich town, Kent County, Rhode Island",East Greenwich,3210,228,0.0710280373832
0600000US4400722960,4400722960,"East Providence city, Providence County, Rhode Island",East Providence,9632,1670,0.173380398671
0600000US4400925300,4400925300,"Exeter town, Washington County, Rhode Island",Exeter,1141,84,0.0736196319018
0600000US4400727460,4400727460,"Foster town, Providence County, Rhode Island",Foster,803,88,0.109589041096
0600000US4400730340,4400730340,"Glocester town, Providence County, Rhode Island",Glocester,1808,79,0.0436946902655
0600000US4400935380,4400935380,"Hopkinton town, Washington County, Rhode Island",Hopkinton,1356,70,0.0516224188791
0600000US4400536820,4400536820,"Jamestown town, Newport County, Rhode Island",Jamestown,888,122,0.137387387387
0600000US4400737720,4400737720,"Johnston town, Providence County, Rhode Island",Johnston,5381,683,0.126928080282
0600000US4400741500,4400741500,"Lincoln town, Providence County, Rhode Island",Lincoln,4786,438,0.0915169243627
0600000US4400542400,4400542400,"Little Compton town, Newport County, Rhode Island",Little Compton,636,47,0.0738993710692
0600000US4400545460,4400545460,"Middletown town, Newport County, Rhode Island",Middletown,3833,357,0.0931385337855
0600000US4400948340,4400948340,"Narragansett town, Washington County, Rhode Island",Narragansett,2221,105,0.047276001801
0600000US4400950500,4400950500,"New Shoreham town, Washington County, Rhode Island",New Shoreham,101,9,0.0891089108911
0600000US4400549960,4400549960,"Newport city, Newport County, Rhode Island",Newport,3544,582,0.164221218962
0600000US4400951580,4400951580,"North Kingstown town, Washington County, Rhode Island",North Kingstown,6147,753,0.122498779893
0600000US4400751760,4400751760,"North Providence town, Providence County, Rhode Island",North Providence,5072,734,0.144716088328
0600000US4400752480,4400752480,"North Smithfield town, Providence County, Rhode Island",North Smithfield,2372,132,0.0556492411467
0600000US4400754640,4400754640,"Pawtucket city, Providence County, Rhode Island",Pawtucket,15932,5120,0.32136580467
0600000US4400557880,4400557880,"Portsmouth town, Newport County, Rhode Island",Portsmouth,3628,238,0.0656008820287
0600000US4400759000,4400759000,"Providence city, Providence County, Rhode Island",Providence,40025,15894,0.397101811368
0600000US4400961160,4400961160,"Richmond town, Washington County, Rhode Island",Richmond,1840,119,0.0646739130435
0600000US4400764220,4400764220,"Scituate town, Providence County, Rhode Island",Scituate,2090,175,0.0837320574163
0600000US4400766200,4400766200,"Smithfield town, Providence County, Rhode Island",Smithfield,3646,79,0.0216675809106
0600000US4400967460,4400967460,"South Kingstown town, Washington County, Rhode Island",South Kingstown,4890,396,0.080981595092
0600000US4400570880,4400570880,"Tiverton town, Newport County, Rhode Island",Tiverton,2908,259,0.0890646492435
0600000US4400173760,4400173760,"Warren town, Bristol County, Rhode Island",Warren,1995,240,0.12030075188
0600000US4400374300,4400374300,"Warwick city, Kent County, Rhode Island",Warwick,14873,1319,0.0886841928326
0600000US4400377720,4400377720,"West Greenwich town, Kent County, Rhode Island",West Greenwich,1657,72,0.043452021726
0600000US4400378440,4400378440,"West Warwick town, Kent County, Rhode Island",West Warwick,5736,1219,0.212517433752
0600000US4400977000,4400977000,"Westerly town, Washington County, Rhode Island",Westerly,4656,666,0.143041237113
0600000US4400780780,4400780780,"Woonsocket city, Providence County, Rhode Island",Woonsocket,9612,4036,0.419891801914
