geoID_long,geoID_short,muni_long,muni_short,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC03_EST_VC42,HC03_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43
0600000US4400105140,4400105140,"Barrington town, Bristol County, Rhode Island",Barrington,16290,21,7656,235,8634,235,4.3,0.9,4.5,1.6,4.2,1.1,8.9,1.1,8.2,1.5,9.5,1.7,9.0,1.1,9.5,1.6,8.5,1.5,7.5,1.3,8.0,1.7,7.1,1.6,4.0,1.0,5.1,1.6,3.0,1.1,1.8,0.7,2.1,0.9,1.5,0.7,1.9,0.6,1.6,0.8,2.1,0.7,4.2,1.0,4.6,1.3,3.9,1.1,7.9,1.1,7.0,1.3,8.7,1.4,9.1,1.1,8.7,1.4,9.5,1.4,9.5,1.1,9.5,1.6,9.4,1.8,10.3,1.1,10.2,1.3,10.4,1.5,5.6,1.0,5.9,1.4,5.2,1.2,4.6,0.9,4.0,1.3,5.2,1.0,3.2,0.7,3.1,0.9,3.2,0.9,2.8,0.8,3.2,1.0,2.5,0.9,2.4,0.7,2.2,1.0,2.7,0.8,3.0,0.7,2.4,1.1,3.5,0.8,17.9,1.2,17.8,2.1,18.1,1.6,5.2,0.8,5.5,1.1,5.0,1.1,6.3,1.0,7.7,1.8,5.0,1.4,27.2,1.5,28.5,2.1,26.1,2.0,76.1,1.3,75.9,2.3,76.3,2.0,72.5,1.2,72.3,2.0,72.7,2.1,21.6,1.6,20.9,1.9,22.3,1.9,19.0,1.4,18.4,1.7,19.6,1.8,16.0,1.2,14.9,1.5,17.0,1.6,8.2,1.1,7.8,1.6,8.6,1.3,45.4,1.1,44.7,1.1,46.0,1.5,88.7,5.1,,,,,77.1,4.6,,,,,28.4,2.7,,,,,48.7,3.1,,,,,0.1,,,,,,0.9,,,,,
0600000US4400109280,4400109280,"Bristol town, Bristol County, Rhode Island",Bristol,22493,24,10771,291,11722,292,3.6,0.7,4.0,1.3,3.3,0.8,4.4,0.9,4.5,1.3,4.2,1.2,3.8,0.9,4.4,1.3,3.3,1.1,9.6,1.1,10.0,1.6,9.3,1.5,9.9,1.0,9.7,1.4,10.0,1.1,5.9,0.9,6.3,1.4,5.5,0.9,4.6,0.7,5.0,1.0,4.3,0.8,5.7,1.1,5.3,1.5,6.2,1.4,5.3,1.0,5.1,1.4,5.4,1.5,6.3,0.8,7.7,1.0,5.1,1.1,7.8,0.9,7.1,1.2,8.5,1.3,7.6,1.0,8.9,1.4,6.4,1.2,6.3,1.0,5.6,1.1,7.0,1.3,5.6,0.8,4.7,1.1,6.3,1.0,3.4,0.7,3.6,0.9,3.3,0.9,3.4,0.8,2.8,1.0,3.9,1.0,3.1,0.7,3.0,1.0,3.3,1.0,3.6,0.7,2.4,0.8,4.7,1.1,8.2,1.1,9.0,1.4,7.5,1.4,3.0,0.7,3.1,0.9,2.9,0.9,16.5,1.2,16.7,1.7,16.4,1.3,41.1,1.3,41.4,1.9,40.8,1.7,87.3,1.0,86.3,1.6,88.1,1.6,85.2,0.9,84.0,1.5,86.2,1.7,25.4,1.6,22.0,1.8,28.5,2.1,22.5,1.4,19.8,1.7,25.0,1.9,19.1,1.1,16.5,1.4,21.5,1.5,10.1,0.9,8.2,1.2,11.9,1.1,42.8,1.4,41.3,2.3,44.1,1.4,91.9,4.8,,,,,51.4,3.0,,,,,28.9,2.1,,,,,22.5,1.6,,,,,0.0,,,,,,0.7,,,,,
0600000US4400711800,4400711800,"Burrillville town, Providence County, Rhode Island",Burrillville,16108,22,7687,296,8421,300,4.7,1.1,3.8,1.5,5.6,1.6,5.1,1.3,5.3,2.0,4.9,1.5,7.5,1.5,6.3,2.0,8.6,2.6,5.4,1.5,5.6,1.8,5.2,2.2,3.9,0.9,5.3,1.6,2.7,1.2,5.2,1.4,5.3,1.8,5.1,2.0,7.0,1.4,7.4,2.1,6.6,1.5,4.7,1.2,4.3,1.6,5.1,1.5,6.8,1.6,7.4,2.1,6.3,1.8,8.1,1.3,9.0,2.0,7.2,1.5,10.0,1.6,9.5,2.2,10.5,2.0,8.0,1.6,7.5,2.0,8.5,2.1,8.4,1.7,9.4,2.3,7.6,1.9,5.0,1.1,5.5,1.4,4.7,1.5,3.5,0.8,4.1,1.5,2.9,0.9,1.3,0.5,1.2,0.6,1.4,0.8,2.6,1.1,2.4,1.1,2.8,1.7,2.6,0.9,0.8,0.6,4.3,1.6,12.6,1.9,11.6,2.4,13.5,2.4,4.0,1.2,4.5,1.7,3.6,1.7,5.3,1.1,6.5,1.7,4.3,1.4,33.0,2.1,35.3,3.0,31.0,2.8,81.3,2.3,83.2,2.8,79.7,2.8,78.7,2.1,80.2,3.1,77.3,2.5,23.5,2.1,23.3,3.3,23.7,2.7,19.9,1.9,18.9,2.8,20.7,2.5,15.1,1.5,14.0,2.2,16.1,2.3,6.6,1.4,4.4,1.4,8.5,2.5,44.7,2.0,44.4,3.0,44.9,2.4,91.3,6.7,,,,,57.3,4.9,,,,,23.7,2.7,,,,,33.5,4.1,,,,,0.1,,,,,,1.3,,,,,
0600000US4400714140,4400714140,"Central Falls city, Providence County, Rhode Island",Central Falls,19406,33,9920,422,9486,425,10.5,1.2,11.1,2.0,9.8,1.9,8.0,1.2,8.1,1.8,8.0,1.7,7.2,1.5,8.4,2.0,5.9,1.8,6.6,1.3,5.8,1.5,7.5,2.1,10.3,1.5,9.2,1.7,11.6,2.1,8.7,1.7,9.6,2.4,7.7,2.1,8.3,1.3,9.5,2.1,7.0,1.7,5.4,1.2,6.6,1.6,4.3,1.4,7.6,1.4,7.2,2.0,8.1,1.6,7.1,1.3,7.2,1.7,7.1,1.6,5.1,1.1,5.5,1.7,4.7,1.6,4.0,1.0,4.4,1.2,3.6,1.5,3.2,0.7,3.1,1.0,3.4,0.9,2.1,0.6,1.7,0.7,2.6,1.0,1.4,0.4,0.9,0.5,1.9,0.7,1.5,0.5,1.1,0.6,1.9,0.7,1.0,0.4,0.2,0.2,1.8,0.7,1.9,0.5,0.6,0.4,3.2,1.0,15.2,1.8,16.5,2.6,13.9,2.2,4.2,1.0,3.6,1.3,4.8,1.5,12.8,1.5,11.4,1.9,14.3,2.3,47.0,2.3,47.9,3.5,46.2,2.8,73.1,2.1,71.1,3.2,75.2,2.8,70.2,2.2,68.9,3.4,71.5,2.9,11.1,1.2,7.5,1.4,14.8,1.8,9.6,1.2,6.4,1.4,12.9,1.7,7.8,1.0,4.4,1.1,11.4,1.6,4.3,0.7,1.9,0.7,6.9,1.2,28.9,1.5,28.0,2.1,29.7,1.5,104.6,9.1,,,,,60.5,5.4,,,,,12.6,1.7,,,,,47.9,5.0,,,,,0.0,,,,,,0.8,,,,,
0600000US4400914500,4400914500,"Charlestown town, Washington County, Rhode Island",Charlestown,7788,34,3964,160,3824,166,5.1,1.9,5.8,2.5,4.5,1.9,3.2,1.2,4.2,1.6,2.2,1.5,6.6,1.6,8.1,2.4,5.0,2.0,5.4,1.9,4.7,2.2,6.1,2.2,7.0,2.2,6.9,3.0,7.0,3.2,3.9,1.6,4.2,2.1,3.6,2.3,6.4,2.3,6.6,2.9,6.3,2.4,3.6,1.4,3.1,1.6,4.0,1.9,6.9,2.2,6.6,2.0,7.3,3.0,8.0,2.5,7.6,2.9,8.4,2.8,8.5,2.1,8.4,2.5,8.7,2.5,8.9,2.0,7.7,2.3,10.2,2.9,6.5,1.7,5.9,2.1,7.1,2.3,6.9,1.6,8.0,2.1,5.8,1.9,5.1,1.4,4.7,1.5,5.5,2.3,4.2,1.4,3.9,1.9,4.5,1.7,1.7,0.8,1.5,1.1,1.8,1.0,2.1,1.0,2.1,1.0,2.1,1.1,9.8,1.6,12.3,2.5,7.3,3.0,3.7,1.5,4.1,2.1,3.2,1.6,8.7,2.3,7.6,3.1,9.8,3.3,33.2,3.0,32.2,3.9,34.2,3.9,83.4,2.8,80.9,2.9,86.1,4.3,81.4,2.8,77.8,2.9,85.0,4.3,26.4,3.1,26.1,3.4,26.7,3.8,23.6,2.8,23.8,3.2,23.3,3.4,19.9,2.5,20.2,2.6,19.7,3.2,7.9,1.8,7.5,2.2,8.3,2.1,46.3,2.6,44.9,2.3,48.0,3.6,103.7,8.6,,,,,62.8,7.3,,,,,32.5,4.8,,,,,30.4,5.4,,,,,0.1,,,,,,1.7,,,,,
0600000US4400318640,4400318640,"Coventry town, Kent County, Rhode Island",Coventry,34992,33,17000,444,17992,445,4.2,0.8,4.3,1.3,4.1,1.0,5.8,0.8,5.9,1.2,5.7,1.1,6.1,0.9,6.6,1.2,5.7,1.3,6.7,0.9,8.0,1.4,5.4,1.0,6.4,0.8,6.5,1.2,6.2,1.2,5.1,0.8,5.1,1.2,5.0,1.1,4.8,0.7,4.6,1.0,5.0,0.9,5.7,1.1,6.4,1.5,5.1,1.2,7.7,0.9,6.5,1.1,8.8,1.2,9.4,1.0,9.4,1.3,9.3,1.2,8.2,0.9,9.0,1.3,7.5,1.0,8.1,0.8,8.4,1.0,7.9,1.1,7.3,1.1,7.1,1.4,7.4,1.3,4.7,0.6,4.7,0.7,4.6,0.8,3.2,0.6,2.7,0.6,3.7,0.7,2.3,0.4,2.2,0.5,2.3,0.6,2.0,0.5,1.3,0.5,2.6,0.7,2.5,0.5,1.4,0.5,3.5,0.8,11.9,1.0,12.4,1.6,11.4,1.3,4.2,0.6,5.1,1.0,3.4,0.8,8.8,0.8,9.4,1.4,8.2,1.2,36.3,1.0,37.0,1.6,35.6,1.7,82.8,0.9,81.7,1.6,83.8,1.4,79.7,1.0,78.2,1.8,81.1,1.4,21.9,1.4,19.5,1.7,24.2,1.6,18.7,1.1,16.3,1.4,20.9,1.5,14.6,0.9,12.3,1.0,16.8,1.4,6.7,0.8,4.9,0.8,8.4,1.2,43.6,0.8,42.3,1.6,44.5,0.9,94.5,4.8,,,,,53.7,2.4,,,,,22.5,1.6,,,,,31.3,1.9,,,,,0.0,,,,,,1.2,,,,,
0600000US4400719180,4400719180,"Cranston city, Providence County, Rhode Island",Cranston,80680,39,40035,749,40645,744,5.5,0.7,5.9,0.8,5.2,0.8,5.3,0.5,5.3,0.8,5.3,0.8,5.2,0.6,4.6,0.9,5.8,0.8,6.2,0.6,6.1,0.8,6.3,0.8,7.1,0.6,8.3,1.0,5.9,0.7,6.0,0.7,7.0,1.0,5.1,0.8,6.4,0.6,6.6,0.8,6.3,0.7,6.5,0.6,6.5,0.8,6.4,0.9,6.4,0.6,6.8,0.9,6.1,0.7,8.3,0.7,7.6,0.9,8.9,1.0,8.1,0.6,8.8,0.8,7.4,0.8,7.1,0.6,6.9,0.8,7.4,0.8,6.1,0.5,7.0,0.8,5.3,0.6,3.9,0.4,3.4,0.5,4.4,0.6,3.5,0.5,3.0,0.6,4.0,0.7,2.5,0.3,2.0,0.4,2.9,0.5,2.6,0.4,2.3,0.5,3.0,0.5,3.1,0.4,2.0,0.4,4.2,0.7,10.5,0.7,9.9,1.1,11.1,1.1,3.3,0.4,3.2,0.6,3.4,0.6,9.9,0.7,11.2,0.9,8.7,0.9,38.6,1.0,41.3,1.4,36.0,1.3,83.0,0.8,83.3,1.4,82.8,1.2,80.6,0.8,81.0,1.4,80.3,1.2,21.8,0.7,19.6,1.0,23.9,1.1,19.3,0.7,16.8,0.9,21.7,1.0,15.6,0.7,12.6,0.8,18.6,1.0,8.2,0.6,6.2,0.7,10.1,0.8,41.3,0.9,39.7,1.4,43.0,1.3,98.5,3.6,,,,,53.9,2.3,,,,,24.0,1.2,,,,,29.8,1.6,,,,,0.1,,,,,,1.4,,,,,
0600000US4400720080,4400720080,"Cumberland town, Providence County, Rhode Island",Cumberland,33930,26,16395,527,17535,527,4.3,0.8,4.2,1.0,4.4,1.0,6.0,0.9,7.5,1.4,4.6,1.0,6.8,0.9,7.1,1.4,6.5,1.2,6.6,0.9,6.8,1.1,6.4,1.3,4.8,0.7,4.7,1.3,4.9,1.1,6.1,1.0,7.0,1.5,5.3,1.1,5.4,1.0,5.3,1.4,5.5,1.3,6.0,0.9,5.3,1.1,6.7,1.2,7.2,0.9,7.3,1.3,7.0,1.3,8.3,1.0,8.4,1.3,8.1,1.4,9.6,1.0,8.8,1.3,10.2,1.4,6.1,1.0,6.9,1.4,5.3,1.2,5.8,1.0,5.3,1.1,6.3,1.4,5.4,0.8,5.5,1.2,5.3,1.0,3.3,0.6,3.7,0.9,3.0,1.0,3.0,0.6,2.0,0.7,3.9,0.9,2.8,0.7,2.4,0.9,3.2,0.8,2.5,0.6,1.8,0.8,3.2,1.0,12.8,0.9,14.6,1.5,11.1,1.5,4.9,0.8,5.2,0.9,4.6,1.1,6.5,0.8,6.3,1.4,6.7,1.3,36.1,1.2,36.4,2.1,35.8,1.5,81.3,1.0,79.2,1.6,83.2,1.7,78.0,1.0,76.0,1.7,79.9,1.8,22.9,1.2,20.7,1.7,25.0,1.7,20.8,1.1,18.9,1.7,22.6,1.5,17.1,0.8,15.3,1.3,18.7,1.4,8.3,0.9,6.2,1.2,10.4,1.3,43.1,1.0,41.7,1.1,44.2,1.3,93.5,5.8,,,,,64.0,3.4,,,,,28.0,1.7,,,,,36.1,2.3,,,,,0.0,,,,,,0.7,,,,,
0600000US4400322240,4400322240,"East Greenwich town, Kent County, Rhode Island",East Greenwich,13118,37,6434,234,6684,238,4.3,1.1,5.1,1.4,3.5,1.5,8.1,1.4,9.1,2.2,7.2,1.7,7.2,1.1,6.7,1.5,7.6,1.8,6.6,1.4,6.5,2.0,6.8,2.0,4.2,1.2,4.0,1.8,4.5,1.5,4.4,1.5,5.8,2.8,2.9,1.4,4.1,1.3,5.0,1.7,3.2,1.7,4.8,1.3,4.5,1.6,5.1,1.5,8.3,1.5,7.9,1.7,8.7,1.8,9.3,1.4,7.9,1.7,10.5,2.0,8.3,1.5,8.2,2.0,8.3,2.1,8.0,1.5,8.5,1.9,7.5,1.9,6.6,1.3,6.4,1.9,6.7,1.6,4.0,1.0,4.7,1.5,3.4,1.3,3.9,0.9,4.7,1.5,3.1,1.1,2.6,0.9,1.3,0.7,3.9,1.6,2.5,0.8,2.1,0.8,2.9,1.1,2.8,0.9,1.4,0.7,4.1,1.6,15.3,1.7,15.8,2.5,14.8,2.2,4.9,1.1,4.4,1.6,5.3,1.8,6.0,1.3,6.0,2.1,6.0,1.7,32.5,1.8,33.8,2.5,31.3,2.8,78.3,1.8,76.6,2.6,80.0,2.4,75.5,1.4,74.6,2.5,76.4,2.2,22.4,1.9,20.6,2.5,24.1,2.6,19.7,1.7,17.9,2.4,21.4,2.6,15.8,1.4,14.2,1.7,17.4,2.4,7.9,1.3,4.8,1.0,11.0,2.2,43.4,1.4,41.8,1.5,45.3,1.6,96.3,6.9,,,,,67.4,4.6,,,,,26.5,2.9,,,,,41.0,3.2,,,,,0.3,,,,,,1.4,,,,,
0600000US4400722960,4400722960,"East Providence city, Providence County, Rhode Island",East Providence,47166,43,21945,608,25221,609,6.4,0.9,7.1,1.5,5.8,1.1,5.3,0.8,6.2,1.2,4.6,0.8,5.6,0.7,5.7,1.1,5.5,1.1,4.6,0.8,5.8,1.3,3.6,1.0,5.6,0.8,6.0,1.2,5.2,0.9,6.6,0.9,7.7,1.3,5.7,1.0,7.1,0.8,7.2,1.2,7.0,1.0,6.6,0.8,6.6,1.1,6.6,1.3,6.0,0.7,6.0,1.0,5.9,1.0,7.3,0.7,7.7,1.1,7.1,0.9,7.8,1.0,8.1,1.4,7.6,1.1,7.5,0.7,7.3,1.2,7.7,0.8,5.9,0.6,5.3,1.0,6.4,0.9,4.3,0.7,3.9,0.8,4.7,0.8,3.8,0.5,3.0,0.6,4.6,0.8,2.8,0.5,2.7,0.6,2.9,0.7,2.8,0.5,1.8,0.5,3.7,0.8,3.9,0.5,2.1,0.6,5.5,0.8,10.9,1.0,11.9,1.6,10.0,1.3,3.3,0.7,4.2,1.1,2.5,0.7,6.8,0.8,7.5,1.4,6.2,1.1,36.4,1.2,39.2,2.1,34.0,1.5,81.5,1.2,79.7,1.8,83.1,1.7,79.4,1.3,76.7,1.9,81.6,1.8,23.6,1.2,18.7,1.4,27.8,1.8,20.6,1.0,16.6,1.3,24.1,1.6,17.7,0.9,13.4,1.1,21.4,1.5,9.5,0.7,6.6,0.8,12.1,1.2,41.6,1.3,38.1,1.9,45.1,1.9,87.0,4.5,,,,,62.1,3.4,,,,,28.7,1.8,,,,,33.5,2.7,,,,,0.1,,,,,,1.2,,,,,
