geoID_long,geoID_short,muni_long,muni_short,total,male,female,pct_male,pct_female
0600000US4400105140,4400105140,"Barrington town, Bristol County, Rhode Island",Barrington,16290,7656,8634,0.469981583794,0.530018416206
0600000US4400109280,4400109280,"Bristol town, Bristol County, Rhode Island",Bristol,22493,10771,11722,0.478860089806,0.521139910194
0600000US4400711800,4400711800,"Burrillville town, Providence County, Rhode Island",Burrillville,16108,7687,8421,0.477216290042,0.522783709958
0600000US4400714140,4400714140,"Central Falls city, Providence County, Rhode Island",Central Falls,19406,9920,9486,0.511182108626,0.488817891374
0600000US4400914500,4400914500,"Charlestown town, Washington County, Rhode Island",Charlestown,7788,3964,3824,0.508988186954,0.491011813046
0600000US4400318640,4400318640,"Coventry town, Kent County, Rhode Island",Coventry,34992,17000,17992,0.485825331504,0.514174668496
0600000US4400719180,4400719180,"Cranston city, Providence County, Rhode Island",Cranston,80680,40035,40645,0.496219633118,0.503780366882
0600000US4400720080,4400720080,"Cumberland town, Providence County, Rhode Island",Cumberland,33930,16395,17535,0.483200707339,0.516799292661
0600000US4400322240,4400322240,"East Greenwich town, Kent County, Rhode Island",East Greenwich,13118,6434,6684,0.490471108401,0.509528891599
0600000US4400722960,4400722960,"East Providence city, Providence County, Rhode Island",East Providence,47166,21945,25221,0.465271593945,0.534728406055
0600000US4400925300,4400925300,"Exeter town, Washington County, Rhode Island",Exeter,6673,3354,3319,0.502622508617,0.497377491383
0600000US4400727460,4400727460,"Foster town, Providence County, Rhode Island",Foster,4642,2386,2256,0.514002585093,0.485997414907
0600000US4400730340,4400730340,"Glocester town, Providence County, Rhode Island",Glocester,9844,4868,4976,0.49451442503,0.50548557497
0600000US4400935380,4400935380,"Hopkinton town, Washington County, Rhode Island",Hopkinton,8144,4245,3899,0.521242632613,0.478757367387
0600000US4400536820,4400536820,"Jamestown town, Newport County, Rhode Island",Jamestown,5444,2731,2713,0.501653196179,0.498346803821
0600000US4400737720,4400737720,"Johnston town, Providence County, Rhode Island",Johnston,28987,13812,15175,0.476489460793,0.523510539207
0600000US4400741500,4400741500,"Lincoln town, Providence County, Rhode Island",Lincoln,21300,10301,10999,0.483615023474,0.516384976526
0600000US4400542400,4400542400,"Little Compton town, Newport County, Rhode Island",Little Compton,3491,1565,1926,0.448295617302,0.551704382698
0600000US4400545460,4400545460,"Middletown town, Newport County, Rhode Island",Middletown,16081,7736,8345,0.48106461041,0.51893538959
0600000US4400948340,4400948340,"Narragansett town, Washington County, Rhode Island",Narragansett,15786,7928,7858,0.502217154441,0.497782845559
0600000US4400950500,4400950500,"New Shoreham town, Washington County, Rhode Island",New Shoreham,893,436,457,0.488241881299,0.511758118701
0600000US4400549960,4400549960,"Newport city, Newport County, Rhode Island",Newport,24599,12107,12492,0.492174478637,0.507825521363
0600000US4400951580,4400951580,"North Kingstown town, Washington County, Rhode Island",North Kingstown,26404,12839,13565,0.486252083018,0.513747916982
0600000US4400751760,4400751760,"North Providence town, Providence County, Rhode Island",North Providence,32208,15045,17163,0.467119970194,0.532880029806
0600000US4400752480,4400752480,"North Smithfield town, Providence County, Rhode Island",North Smithfield,12106,5506,6600,0.454815793821,0.545184206179
0600000US4400754640,4400754640,"Pawtucket city, Providence County, Rhode Island",Pawtucket,71313,34729,36584,0.486993956221,0.513006043779
0600000US4400557880,4400557880,"Portsmouth town, Newport County, Rhode Island",Portsmouth,17352,8775,8577,0.505705394191,0.494294605809
0600000US4400759000,4400759000,"Providence city, Providence County, Rhode Island",Providence,178562,86298,92264,0.48329431794,0.51670568206
0600000US4400961160,4400961160,"Richmond town, Washington County, Rhode Island",Richmond,7648,3695,3953,0.483132845188,0.516867154812
0600000US4400764220,4400764220,"Scituate town, Providence County, Rhode Island",Scituate,10414,5269,5145,0.505953524102,0.494046475898
0600000US4400766200,4400766200,"Smithfield town, Providence County, Rhode Island",Smithfield,21478,9939,11539,0.462752584039,0.537247415961
0600000US4400967460,4400967460,"South Kingstown town, Washington County, Rhode Island",South Kingstown,30546,14417,16129,0.471976690892,0.528023309108
0600000US4400570880,4400570880,"Tiverton town, Newport County, Rhode Island",Tiverton,15805,7638,8167,0.483264789624,0.516735210376
0600000US4400173760,4400173760,"Warren town, Bristol County, Rhode Island",Warren,10555,5199,5356,0.492562766461,0.507437233539
0600000US4400374300,4400374300,"Warwick city, Kent County, Rhode Island",Warwick,82065,39367,42698,0.479705111802,0.520294888198
0600000US4400377720,4400377720,"West Greenwich town, Kent County, Rhode Island",West Greenwich,6118,3084,3034,0.504086302713,0.495913697287
0600000US4400378440,4400378440,"West Warwick town, Kent County, Rhode Island",West Warwick,28960,13888,15072,0.47955801105,0.52044198895
0600000US4400977000,4400977000,"Westerly town, Washington County, Rhode Island",Westerly,22727,10495,12232,0.461785541426,0.538214458574
0600000US4400780780,4400780780,"Woonsocket city, Providence County, Rhode Island",Woonsocket,41136,20367,20769,0.495113768961,0.504886231039
